+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+     Pointwise potential energy curve for the X1Sigma+g state of Sr2 calculated 
+	  from the analytical representation published in the article 
+     'The 1S+1S asymptote of Sr2 studied by Fourier-transform spectroscopy'
+   
+
+  A. Stein, H. Knoeckel, E. Tiemann
+  Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+  30167 Hannover, Germany
+   
+
+  2006-2010 Hannover
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++



Number of points: 49662

R [Angstrom]	Energy [cm^-1]
 3.003906250      39994.48477
 3.005859375      39663.74811
 3.007812500      39335.87054
 3.009765625      39010.82552
 3.011718750      38688.58676
 3.013671875      38369.12824
 3.015625000      38052.42419
 3.017578125      37738.44911
 3.019531250      37427.17772
 3.021484375      37118.58503
 3.023437500      36812.64628
 3.025390625      36509.33694
 3.027343750      36208.63274
 3.029296875      35910.50965
 3.031250000      35614.94387
 3.033203125      35321.91184
 3.035156250      35031.39022
 3.037109375      34743.35591
 3.039062500      34457.78605
 3.041015625      34174.65797
 3.042968750      33893.94926
 3.044921875      33615.63770
 3.046875000      33339.70131
 3.048828125      33066.11832
 3.050781250      32794.86716
 3.052734375      32525.92648
 3.054687500      32259.27515
 3.056640625      31994.89223
 3.058593750      31732.75700
 3.060546875      31472.84892
 3.062500000      31215.14768
 3.064453125      30959.63314
 3.066406250      30706.28538
 3.068359375      30455.08465
 3.070312500      30206.01142
 3.072265625      29959.04632
 3.074218750      29714.17019
 3.076171875      29471.36406
 3.078125000      29230.60912
 3.080078125      28991.88676
 3.082031250      28755.17856
 3.083984375      28520.46624
 3.085937500      28287.73175
 3.087890625      28056.95717
 3.089843750      27828.12478
 3.091796875      27601.21702
 3.093750000      27376.21650
 3.095703125      27153.10600
 3.097656250      26931.86847
 3.099609375      26712.48702
 3.101562500      26494.94492
 3.103515625      26279.22561
 3.105468750      26065.31267
 3.107421875      25853.18987
 3.109375000      25642.84111
 3.111328125      25434.25046
 3.113281250      25227.40212
 3.115234375      25022.28047
 3.117187500      24818.87003
 3.119140625      24617.15545
 3.121093750      24417.12156
 3.123046875      24218.75331
 3.125000000      24022.03580
 3.126953125      23826.95428
 3.128906250      23633.49413
 3.130859375      23441.64087
 3.132812500      23251.38018
 3.134765625      23062.69784
 3.136718750      22875.57980
 3.138671875      22690.01212
 3.140625000      22505.98101
 3.142578125      22323.47280
 3.144531250      22142.47395
 3.146484375      21962.97105
 3.148437500      21784.95082
 3.150390625      21608.40011
 3.152343750      21433.30588
 3.154296875      21259.65524
 3.156250000      21087.43539
 3.158203125      20916.63367
 3.160156250      20747.23754
 3.162109375      20579.23457
 3.164062500      20412.61246
 3.166015625      20247.35901
 3.167968750      20083.46214
 3.169921875      19920.90990
 3.171875000      19759.69044
 3.173828125      19599.79201
 3.175781250      19441.20300
 3.177734375      19283.91187
 3.179687500      19127.90722
 3.181640625      18973.17776
 3.183593750      18819.71227
 3.185546875      18667.49968
 3.187500000      18516.52899
 3.189453125      18366.78931
 3.191406250      18218.26988
 3.193359375      18070.96000
 3.195312500      17924.84909
 3.197265625      17779.92667
 3.199218750      17636.18236
 3.201171875      17493.60587
 3.203125000      17352.18700
 3.205078125      17211.91567
 3.207031250      17072.78187
 3.208984375      16934.77568
 3.210937500      16797.88730
 3.212890625      16662.10699
 3.214843750      16527.42513
 3.216796875      16393.83216
 3.218750000      16261.31863
 3.220703125      16129.87517
 3.222656250      15999.49250
 3.224609375      15870.16143
 3.226562500      15741.87283
 3.228515625      15614.61769
 3.230468750      15488.38707
 3.232421875      15363.17209
 3.234375000      15238.96399
 3.236328125      15115.75407
 3.238281250      14993.53370
 3.240234375      14872.29436
 3.242187500      14752.02759
 3.244140625      14632.72499
 3.246093750      14514.37828
 3.248046875      14396.97922
 3.250000000      14280.51966
 3.251953125      14164.99153
 3.253906250      14050.38682
 3.255859375      13936.69761
 3.257812500      13823.91603
 3.259765625      13712.03431
 3.261718750      13601.04473
 3.263671875      13490.93966
 3.265625000      13381.71151
 3.267578125      13273.35279
 3.269531250      13165.85606
 3.271484375      13059.21396
 3.273437500      12953.41919
 3.275390625      12848.46451
 3.277343750      12744.34276
 3.279296875      12641.04685
 3.281250000      12538.56972
 3.283203125      12436.90442
 3.285156250      12336.04403
 3.287109375      12235.98171
 3.289062500      12136.71067
 3.291015625      12038.22420
 3.292968750      11940.51563
 3.294921875      11843.57835
 3.296875000      11747.40584
 3.298828125      11651.99161
 3.300781250      11557.32924
 3.302734375      11463.41236
 3.304687500      11370.23467
 3.306640625      11277.78991
 3.308593750      11186.07190
 3.310546875      11095.07449
 3.312500000      11004.79162
 3.314453125      10915.21723
 3.316406250      10826.34538
 3.318359375      10738.17013
 3.320312500      10650.68562
 3.322265625      10563.88604
 3.324218750      10477.76563
 3.326171875      10392.31868
 3.328125000      10307.53953
 3.330078125      10223.42258
 3.332031250      10139.96227
 3.333984375      10057.15309
 3.335937500       9974.98959
 3.337890625       9893.46636
 3.339843750       9812.57803
 3.341796875       9732.31931
 3.343750000       9652.68492
 3.345703125       9573.66964
 3.347656250       9495.26831
