+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+     Fluorescense progressions used for the fit of the potentials published in the
+     article 'The 1S+1S asymptote of Sr2 studied by Fourier-transform spectroscopy' 
+   
+
+  A. Stein, H. Knoeckel, E. Tiemann
+  Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+  30167 Hannover, Germany
+   
+
+  2006-2010 Hannover
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations:

Isotope 1 and 2:  mass numbers of the isotopes

v', J', v", J":   vibrational and rotational quantum numbers of the excited and
                  absorbing level, respectively. 
				  v'=-1 means that the vibrational quantum number of the excited 
				  state is not assigned until now or that the transition belongs 
				  to a different excited state. PA means that the transitions is 
                  a PA resonance taken from Phys. Rev. A 78, 062708 (2008)				  

line frequency:   frequency of transition [cm-1]

uncertainty:      The estimated experimental uncertainty of transition [cm-1] 

obs-calc:         observed minus calculated values for the potential fit of the ground state 


 Isotope 1   Isotope 2   v'  J'  v''  J''   line frequency   uncertainty  obs-calc
        86          88   0  143   6   142       17277.9405        0.010    0.0010
        86          88   0  143   6   144       17268.7993        0.010    0.0026
        86          88   0  143   7   142       17246.9449        0.010   -0.0008
        86          88   0  143   7   144       17237.9117        0.010   -0.0086
        86          88   0  143   8   142       17216.8045        0.010    0.0030
        86          88   0  143   8   144       17207.9053        0.005    0.0102
        86          88   0  143   9   142       17187.5074        0.005    0.0014
        86          88   0  143   9   144       17178.7233        0.005    0.0030
        86          88   0  143  10   142       17159.0593        0.010    0.0010
        86          88   0  143  10   144       17150.3973        0.010    0.0021
        86          88   0  143  11   142       17131.4570        0.010   -0.0004
        86          88   0  143  11   144       17122.9135        0.010   -0.0053
        86          88   0  143  12   142       17104.7024        0.005    0.0001
        86          88   0  143  12   144       17096.2889        0.005   -0.0013
        86          88   0  143  13   142       17078.7913        0.005   -0.0008
        86          88   0  143  13   144       17070.5064        0.005   -0.0021
        86          88   0  143  14   142       17053.7271        0.010    0.0012
        86          88   0  143  14   144       17045.5717        0.005   -0.0013
        86          88   0  143  15   142       17029.5050        0.005    0.0020
        86          88   0  143  15   144       17021.4864        0.005    0.0034
        86          88   0  143  16   142       17006.1263        0.005    0.0035
        86          88   0  143  16   144       16998.2398        0.005    0.0018
        86          88   0  143  17   142       16983.5822        0.005   -0.0025
        86          88   0  143  17   144       16975.8411        0.005    0.0033
        86          88   0  143  18   142       16961.8927        0.005    0.0039
        86          88   0  143  18   144       16954.2835        0.005    0.0011
        86          88   0  143  19   142       16941.0341        0.005   -0.0009
        86          88   0  143  19   144       16933.5740        0.005    0.0020
        86          88   0  143  21   142       16901.8427        0.010   -0.0138
        86          88   0  143  21   144       16894.6894        0.005   -0.0007
        86          88   0  143  22   142       16883.5274        0.010   -0.0069
        86          88   0  143  22   144       16876.5245        0.010    0.0030
        86          88   0  143  23   142       16866.0461        0.005   -0.0133
        86          88   0  143  23   144       16859.2071        0.010    0.0028
        86          88   0  143  25   142       16833.6653        0.005    0.0009
